Row Label,Q1 2011,Q2 2011,Q3 2011,FY 2011,Q1 2012,Q2 2012,Q3 2012,FY 2012,Q1 2013,Q2 2013,Q3 2013,FY 2013,Q1 2014,Q2 2014,Q3 2014,FY 2014,Q1 2015,Q2 2015,Q3 2015,FY 2015,Q1 2016,Q2 2016,Q3 2016,FY 2016,Q1 2017,Q2 2017,Q3 2017,FY 2017,Q1 2018,Q2 2018,Q3 2018,FY 2018,Q1 2019,Q2 2019,Q3 2019,FY 2019,Q1 2020
Period End Date,3/31/2011,6/30/2011,9/30/2011,12/31/2011,3/31/2012,6/30/2012,9/30/2012,12/31/2012,3/31/2013,6/30/2013,9/30/2013,12/31/2013,3/31/2014,6/30/2014,9/30/2014,12/31/2014,3/31/2015,6/30/2015,9/30/2015,12/31/2015,3/31/2016,6/30/2016,9/30/2016,12/31/2016,3/31/2017,6/30/2017,9/30/2017,12/31/2017,3/31/2018,6/30/2018,9/30/2018,12/31/2018,3/31/2019,6/30/2019,9/30/2019,12/31/2019,3/31/2020
SEC Document Type,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q,10-q,10-q,10-k,10-q
Missing Column Data Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
""
Cash and cash equivalents,"20,975","20,471","20,297","15,499","17,378","22,184","23,320","18,422","20,643","19,697","20,355","20,021","19,426","19,864","18,060","18,954","15,776","17,627","15,433","15,238","14,894","18,923","15,932","12,960","12,864","16,598","12,792","15,512","14,256","15,087","18,435","20,844","17,176","17,072","20,051","19,069","38,506"
Marketable debt securities (Note 4),"8,618","12,298","11,680","16,148","14,686","11,381","10,411","8,988","6,560","6,258","8,215","8,972","8,716","9,935","9,570","9,222","8,409","7,200","8,029","8,163","6,537","4,247","8,172","11,841","10,260","9,133","8,454","8,313","7,110","6,924","5,916","5,966","6,021","7,049","6,725","4,174","7,620"
"Accounts and notes receivable, net","12,990","11,789","10,512","9,949","12,485","11,117","13,015","10,395","12,559","11,119","11,067","8,535","11,734","11,480","10,892","9,078","11,569","10,604","10,486","8,337","8,988","10,461","10,737","9,638","10,898","9,796","10,013","8,164","10,769","9,663","10,376","6,549","12,116","10,362","6,924","6,797","7,536"
"GM Financial receivables, net (Note 5; Note 10 at VIEs)","8,276","8,587","8,918","9,162","3,314","3,478","3,744","4,044","4,286","10,865","11,010","14,278","15,055","15,797","15,660","16,528","16,127","16,932","17,217","18,051","19,225","19,800","20,495","22,065","23,903","19,296","19,399","20,521","21,157","22,005","23,432","26,850","27,230","27,925","28,017","26,601","26,320"
Inventories (Note 6),"13,991","14,105","15,220","14,324","15,844","15,433","15,672","14,714","15,200","14,777","15,357","14,039","14,837","15,200","15,210","13,642","14,051","14,218","14,368","13,764","15,817","15,026","15,427","13,788","14,686","11,289","11,789","10,663","11,461","10,833","11,334","9,816","11,108","11,447","11,797","10,398","10,799"
Other current assets (Note 4; Note 10 at VIEs),"3,276","3,141","2,834","1,657","1,985","2,087","2,110","1,536","1,543","1,699","1,774","1,662","1,747","1,910","1,851","1,584","1,618","1,520","1,485","1,482","1,658","2,073","2,034","4,015","4,704","4,324","4,909","4,465","5,893","5,249","4,881","5,021","6,439","7,451","7,051","7,953","6,918"
Total current assets,"62,949","65,984","64,010","60,247","69,216","70,233","72,107","69,996","72,570","77,745","81,164","81,501","86,825","91,643","86,640","83,670","83,231","84,554","82,341","78,007","71,034","74,630","76,496","76,203","79,598","85,081","76,618","68,744","71,435","70,451","74,848","75,293","80,090","81,306","80,565","74,992","97,699"
"GM Financial receivables, net (Note 5; Note 10 at VIEs)","7,903","8,190","8,256","8,820","6,162","6,552","6,855","6,954","7,169","11,453","12,222","14,354","14,866","15,430","15,604","16,006","16,180","17,277","17,671","18,500","19,145","19,309","20,299","20,724","22,540","20,137","21,021","21,208","22,146","22,996","24,086","25,083","25,448","26,264","25,743","26,355","25,948"
Equity in net assets of nonconsolidated affiliates (Note 8),"6,937","7,160","7,534","6,790","6,793","7,058","7,519","6,883","7,470","7,463","7,897","8,094","8,747","7,485","7,983","8,350","9,756","8,403","8,872","9,201","9,640","8,198","8,645","8,996","9,416","8,248","8,820","9,073","9,883","8,788","9,155","9,215","8,266","8,340","8,496","8,562","7,521"
"Property, net","19,944","20,989","21,556","22,957","24,275","25,026","26,578","24,196","24,893","25,351","26,247","25,867","26,367","27,023","27,375","27,743","27,755","28,431","29,381","31,229","32,652","33,510","34,713","35,820","37,202","34,301","35,178","36,253","37,321","38,003","38,655","38,758","38,336","38,188","37,969","38,750","37,969"
"Goodwill and intangible assets, net",,,,,,,,,,726,676,829,906,969,915,935,"6,297","6,181","6,083","5,947","5,891","6,433","6,354","6,259","6,193","5,989","5,854","5,849","5,790","5,720","5,651","5,579","5,518","5,457","5,408","5,337","5,225"
"Equipment on operating leases, net (Note 7; Note 10 at VIEs)",,,,,"1,066","1,324","1,521","1,649","2,039","2,575","3,100","3,383","3,726","4,748","5,796","7,060","8,939","12,904","16,915","20,172","24,538","28,442","31,775","34,526","37,302","39,725","41,775","42,882","43,444","44,054","44,128","43,559","43,052","42,938","42,527","42,055","41,296"
Deferred income taxes,"29,593",,,206,924,734,863,686,713,"26,608","26,020","22,736","22,840","22,582","23,574","25,414","1,414","1,442","1,519","1,590","1,716","1,595","1,644","35,092","34,263","32,425","30,723","23,544","23,538","23,285","23,242","24,082","24,303","23,987","23,783","24,640","24,441"
Other assets (Note 4; Note 10 at VIEs),785,"1,118","1,005","1,488",,,,"2,358","2,377","2,598","2,896","2,352","2,324","2,425","2,377","2,089","2,353","2,441","2,345","2,438","3,705","3,697","3,688","4,070","4,279","3,994","5,005","4,929","5,169","5,344","5,946","5,770","8,119","7,257","7,038","7,346","6,525"
Total non-current assets,"71,370","72,322","72,162","71,313","80,978","81,754","83,349","79,426","81,205","85,365","87,375","84,843","86,781","87,455","90,268","94,007","96,687","101,258","106,659","116,513","132,584","135,819","141,080","145,487","151,195","155,219","152,884","143,738","147,291","148,190","150,863","152,046","153,042","152,431","150,964","153,045","148,925"
